trial_id,fs_estimate_hz,flagged_fs_outlier
819,257.5916028312226,False
820,250.9085923230723,False
821,249.87071265377932,False
822,250.09387277018237,False
823,250.46479811976351,False
824,248.53410873058294,False
825,251.2508072525651,False
826,250.3730197312593,False
827,248.0743538499412,False
828,251.98087316948096,False
829,250.3369481227347,False
830,249.65110284348938,False
831,247.70726801572582,False
832,249.99957983264446,False
833,252.90490480067936,False
834,239.86363306134623,False
835,245.21577545795128,False
836,266.34514824708214,False
837,248.60021861699738,False
838,252.52887100234472,False
839,250.3718808913531,False
840,253.8097642901604,False
841,249.07878475587063,False
842,251.27970398344846,False
843,249.90200921215694,False
844,250.7157714556874,False
845,249.99969237732742,False
846,248.4420081375573,False
847,250.68724820677804,False
848,254.01492493711055,False
849,251.44231699937723,False
850,246.33137762582913,False
851,243.77254548530772,False
852,252.6170019551885,False
853,252.50013274191542,False
854,244.94770846713158,False
855,257.49536392424324,False
856,248.073075756669,False
857,250.43766964099845,False
858,246.75602960723063,False
859,255.9503383832874,False
860,249.87263644720946,False
861,249.00124494683763,False
862,251.34851900139256,False
863,250.3054823663835,False
864,250.02378427631342,False
865,248.80575477814557,False
866,249.25244712802908,False
867,252.26445964483156,False
868,250.34107343363013,False
869,249.7082615107149,False
870,249.9607004574791,False
871,248.22113155336723,False
872,252.39748828947714,False
873,250.03356042665266,False
874,249.9429176978511,False
875,250.5873058507341,False
876,250.33762020036332,False
877,250.59038653857758,False
878,249.2161086314475,False
879,250.8096917678306,False
880,249.5868035043971,False
881,251.22301576817833,False
882,249.96533343907552,False
883,250.96967037998795,False
884,250.18584733892897,False
885,249.77088593560308,False
886,250.50340508715425,False
887,249.7132145148108,False
888,250.8129465843899,False
889,249.84445208319636,False
890,250.11979276868982,False
891,250.30555256473272,False
892,250.65187793182196,False
893,249.37527203443693,False
894,250.53060055447756,False
895,250.37396041132283,False
896,250.8081587875018,False
897,249.47073072426144,False
898,250.05953298169575,False
899,249.58696553238477,False
900,251.2176314515477,False
901,250.34363144610762,False
902,250.20638522472618,False
903,250.30211033669954,False
904,250.24095330232362,False
905,250.06295852598274,False
906,250.42816301140417,False
907,250.25385143787915,False
908,250.16023669226786,False
909,250.09703144709178,False
